,ingredient,chemComp
10,cod,Thiamine Hydrochloride|CID 644104|taurine|Heptanoic Acid|hydrogen sulfide|thiamine|betaine
11,goat,"4-Ethyloctanoic acid|Isoamyl butyrate|Octan-2-ol|Isopentyl hexanoate|2-Methylbutyraldehyde|Styrene|3-methylthiopropanol|2-Methyl-1-propanol|formic acid|Ethyl Formate|Isobutyric Acid|Ethyl 3-methylpentanoate|Methyl Acetate|2-Nonanone|Pyrazine|4-Methylpentanoic Acid|Ethyl 2-methylbutyrate|Tiglic aldehyde|1-Phenylethanol|methanethiol|Octan-2-one|1-Hexanol|1-Heptanol|Isovaleric Acid|2-Ethylbutyric Acid|1-Nonanol|2-Heptanol|trimethylamine|Ethyl caproate|gamma-Decalactone|2,6-Dimethylpyrazine|Ethyl Butyrate|Hexanal|1-octanol|gamma-Caprolactone|Heptanoic Acid|salicylic acid|isopropanol|Furfuryl Alcohol|Tetradecanoic acid|Dimethyl disulfide|Methyl Dodecanoate|phenol|Methyl octanoate|Hexanoic Acid|(2E,4E)-Octa-2,4-dienal|dimethyl sulfide|Ethyl Heptanoate|Phenethyl acetate|S-Methyl 3-methylbutanethioate|Isopentyl octanoate|Isobutyraldehyde|Isoamylamine|Ethyl dodecanoate|Butylamine|2-Methylpentanoic acid|8-Nonen-2-one|Methyl tetradecanoate|1-Dodecanol|Pentanal|Ethyl methyl disulfide|4-Methyl-2-pentanone|2,5-Dimethylpyrazine|Undecanoic Acid|1-Octen-3-Ol|3-(Methylthio)propionaldehyde|2-Phenylethanol|3-Octanone|2,6-Dimethylpyridine|Octanal|2,3-Dimethylpyrazine|Nonanal|Butyl isobutyrate|Dimethyl trisulfide|phenylacetaldehyde|Methyl 2-methylbutyrate|1-Decanol|2-Nonanol|lauric acid|4-Hydroxybenzoic Acid|octanoic acid|oleic acid|3-Methyl-1-butanol|4-Methylnonanoic acid|S-Methyl propanethioate|Hexyl acetate|S-Methyl thiobutyrate|Decanoic acid|L-arginine|2-Undecanone|1-propanol|lactic acid|Isoborneol|Butyl Isovalerate|indole|Methyl Hexanoate|Myrcene|Ethyl pentanoate|Isoamyl Acetate|2,3-butanedione|2-Butanone|Dodecanal|9-Decenoic acid|3-Methylvaleric acid|4-Methyl-2-oxovaleric acid|Ethyl Propionate|4-hydroxybenzaldehyde|delta-Octanolactone|2,3,5-Trithiahexane|2-Methylbutanoic acid|3-Methyl-1-Pentanol|Linalool|Nonanoic Acid|propionic acid|S-Methyl 2-methylbutanethioate|Methyl Linoleate|3-Methylbutanal"
12,bell pepper,
13,barley,"coumarin|Methyl Benzoate|Vanillic acid|3-Hexanone|Geraniol|4-Methylthiazole|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|4-Methylpentanoic Acid|methanethiol|daidzein|Pyridine|benzaldehyde|benzyl alcohol|2-Methylpyrazine|alpha-L-Sorbopyranose|DL-Liquiritigenin|2,5-Dimethylthiazole|phloretin|2,6-Dimethylpyrazine|Aconitic Acid|Hexanal|Linamarin|2-Methyl-1-Butanol|Heptanoic Acid|guaiacol|salicylic acid|vanillin|(Z)-cinnamyl alcohol|2,3-Pentanedione|2,3,5-Trimethylpyrazine|cinnamyl alcohol|Ethyl Vinyl Ketone|L-histidine|hydrogen peroxide|Isoeugenol|betaine|Phenethyl acetate|Phenylacetic Acid|cis-3-Hexenal|cinnamaldehyde|(-)-Epicatechin|2-Pentanol|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|2-Phenylethanol|(+)-Neomenthol|succinic acid|2,3-Dimethylpyrazine|NSC5112|m-cresol|apigenin|phenylacetaldehyde|trans-2-Hexen-1-Ol|5-Methylfurfural|thiamine|3-Phenylpropanoic acid|3-Methyl-1-butanol|Propionaldehyde|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|resorcinol|indole|Tributyrin|104-50-7|Dl-Phenylalanine|calcium lactate|2,3-butanedione|isoliquiritigenin|Cinnamic Acid|Farnesal|3,4-Dihydroxybenzaldehyde|Ethanamine|3-Methylbutanal|farnesol|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|Citral|2-Ethyl-5-Methylpyrazine|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|L-phenylalanine|kaempferol|Maltol|CID 644104|Taxifolin|D-mannitol|indole-3-acetic acid|Dl-Methionine|1-Pyrroline|Menthone|Geranyl Acetate|cis-3-Hexenyl acetate|Furfuryl Alcohol|Acetylpyrazine|7-Methoxycoumarin|Allyl Alcohol|Cianidanol|23747-48-0|Pyrrolidine|2-Ethyl-3-Methylpyrazine|Syringaldehyde|2-Ethyl-3,5-Dimethylpyrazine|naringenin|Isobutyraldehyde|6-Methyl-5-Hepten-2-One|2,5-Dimethylpyrazine|3-(Methylthio)propionaldehyde|Octanal|Thiamine Hydrochloride|L-aspartic acid|hydrogen cyanide|Benzyl Benzoate|Thiazole|trans-3-Hexen-1-ol|Ethyl Acetate|4-Hexen-3-One|Silica|Neral|Gallocatechin|2-Furaldehyde|Diethylamine|3-Methyl-2-butenal|3-Pentanone|Heptanal|2-Phenylethyl formate|acetone|methylglyoxal|3-Methylcyclopentane-1,2-dione|2-Butanone|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|gamma-Nonanolactone|p-coumaric acid|Piperidine"
14,a,"2,3-Dimethylpyrazine|2,5-Dimethylpyrazine|2-Ethylpyrazine|2-Ethyl-3-Methylpyrazine|2-Methylpyrazine|2,3,5-Trimethylpyrazine"
15,fenukreek,
16,jaggery,
17,fuji,
18,prawn,Bis(methylthio)methane
19,cottage cheese,"Isoamyl butyrate|Octan-2-ol|Isopentyl hexanoate|Styrene|2-Methylbutyraldehyde|3-methylthiopropanol|2-Methyl-1-propanol|formic acid|Ethyl Formate|Isobutyric Acid|Ethyl 3-methylpentanoate|Methyl Acetate|2-Nonanone|Pyrazine|4-Methylpentanoic Acid|L-phenylalanine|Ethyl 2-methylbutyrate|Tiglic aldehyde|1-Phenylethanol|methanethiol|Octan-2-one|1-Hexanol|1-Heptanol|Isovaleric Acid|1-Nonanol|2-Heptanol|trimethylamine|Ethyl caproate|gamma-Decalactone|2,6-Dimethylpyrazine|Ethyl Butyrate|Hexanal|1-octanol|gamma-Caprolactone|Heptanoic Acid|salicylic acid|isopropanol|Furfuryl Alcohol|Tetradecanoic acid|Dimethyl disulfide|Methyl Dodecanoate|phenol|L-histidine|Methyl octanoate|Hexanoic Acid|(2E,4E)-Octa-2,4-dienal|dimethyl sulfide|Ethyl Heptanoate|Phenethyl acetate|S-Methyl 3-methylbutanethioate|Isopentyl octanoate|Isobutyraldehyde|Isoamylamine|Ethyl dodecanoate|Butylamine|2-Methylpentanoic acid|8-Nonen-2-one|Methyl tetradecanoate|1-Dodecanol|Pentanal|Ethyl methyl disulfide|4-Methyl-2-pentanone|2,5-Dimethylpyrazine|Undecanoic Acid|1-Octen-3-Ol|3-(Methylthio)propionaldehyde|2-Phenylethanol|3-Octanone|2,6-Dimethylpyridine|Octanal|2,3-Dimethylpyrazine|Nonanal|Butyl isobutyrate|Dimethyl trisulfide|phenylacetaldehyde|Methyl 2-methylbutyrate|1-Decanol|2-Nonanol|lauric acid|4-Hydroxybenzoic Acid|octanoic acid|Pyruvic acid|oleic acid|3-Methyl-1-butanol|S-Methyl propanethioate|Hexyl acetate|S-Methyl thiobutyrate|Decanoic acid|L-arginine|2-Undecanone|1-propanol|lactic acid|Isoborneol|Butyl Isovalerate|indole|Methyl Hexanoate|Myrcene|Dl-Phenylalanine|Ethyl pentanoate|Isoamyl Acetate|2,3-butanedione|2-Butanone|Dodecanal|9-Decenoic acid|4-Methyl-2-oxovaleric acid|Ethyl Propionate|4-hydroxybenzaldehyde|delta-Octanolactone|2,3,5-Trithiahexane|2-Methylbutanoic acid|3-Methyl-1-Pentanol|Linalool|Nonanoic Acid|propionic acid|S-Methyl 2-methylbutanethioate|Methyl Linoleate|3-Methylbutanal"
20,toor dal,
21,saffron,"coumarin|Methyl Benzoate|Harmane|Vanillic acid|3-Hexanone|Geraniol|alpha-Maltose|2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone|Phlorizin|Terpinolene|methanethiol|daidzein|benzaldehyde|benzyl alcohol|alpha-L-Sorbopyranose|DL-Liquiritigenin|3-Carene|Citronellol|phloretin|Sabinene|Hexanal|Linamarin|2-Methyl-1-Butanol|salicylic acid|vanillin|(Z)-cinnamyl alcohol|naphthalene|Beta-Pinene|cinnamyl alcohol|Ethyl Vinyl Ketone|hydrogen peroxide|Isoeugenol|betaine|Phenethyl acetate|Eucalyptol|Phenylacetic Acid|cis-3-Hexenal|cinnamaldehyde|Safranal|Sinapic Acid|Cyclopentanone|2-Isopropyl-5-methylcyclohexanone|2-Phenylethanol|Terpinen-4-ol|(+)-Neomenthol|succinic acid|NSC5112|3-Thujene|apigenin|phenylacetaldehyde|trans-2-Hexen-1-Ol|HMDB05796|D-Camphor|thiamine|3-Phenylpropanoic acid|3-Methyl-1-butanol|Propionaldehyde|2-(4-Hydroxyphenyl)ethanol|Acrolein|(+)-delta-Cadinene|indole|Tributyrin|calcium lactate|2,3-butanedione|isoliquiritigenin|Cinnamic Acid|Farnesal|Bornyl Acetate|3,4-Dihydroxybenzaldehyde|Methyl Linoleate|1125-21-9|3-Methylbutanal|Methyl 4-hydroxybenzoate|farnesol|Daidzin|2-Methylbutyraldehyde|3-methylthiopropanol|Citral|palmitic acid|Methyl jasmonate|3,4-Dihydroxybenzoic Acid|nicotine|kaempferol|Dipentene|Borneol|CID 644104|1-Nonanol|Taxifolin|D-mannitol|Gamma-Terpinene|indole-3-acetic acid|Linalyl Acetate|1-Pyrroline|Menthone|Isophorone|Geranyl Acetate|cis-3-Hexenyl acetate|Allyl Alcohol|Alpha-Terpinene|naringenin|Isobutyraldehyde|P-Cymene|stearic acid|6-Methyl-5-Hepten-2-One|quercetin|3-(Methylthio)propionaldehyde|Octanal|hydrogen cyanide|Benzyl Benzoate|trans-3-Hexen-1-ol|Ethyl Acetate|4-Hexen-3-One|Neral|2-Undecanone|3-Methyl-2-butenal|3-Pentanone|Lycopene|Myrcene|Heptanal|Alpha-Pinene|acetone|2-Butanone|D-Lactic acid|4-hydroxybenzaldehyde|luteolin|p-coumaric acid|Linalool"
22,buttermilk,Thiamine Hydrochloride|CID 644104|L-histidine|stearic acid|Heptanoic Acid|thiamine|2-Pentanone|delta-Tetradecalactone|Dl-Phenylalanine|hydrogen sulfide|formic acid|dimethyl sulfide|lactic acid|L-phenylalanine|1-Octen-3-Ol|Pyruvic acid
23,achaar,
24,frittata,
25,bhatura,
26,dressing,Thiamine Hydrochloride|CID 644104|Heptanoic Acid|thiamine|betaine
27,liquor,"Sinapic Acid|Cianidanol|Vanillic acid|thiamine|Syringaldehyde|Thiamine Hydrochloride|CID 644104|Heptanoic Acid|vanillin|3,4-Dihydroxybenzoic Acid"
28,papper,
